old,new
"TX|LASALLE COUNTY","LA SALLE COUNTY"
"MI|GD. TRAVERSE COUNTY","GRAND TRAVERSE COUNTY"
"MT|LEWIS & CLARK COUNTY","LEWIS AND CLARK COUNTY"
