COUNTY DISTRICT CST DEM GRE LIB REP <NA>
COUNTY DISTRICT CST DEM GRE LIB REP <NA>
MACON " 11" NA 6058 206 300 13953 NA
MADISON " 11" NA 4883 146 274 7618 NA
MARTIN " 01" NA 5988 NA NA 6427 NA
MCDOWELL " 11" NA 5708 246 417 16329 NA
MECKLENBURG " 09" NA 64842 NA NA 59249 NA
MECKLENBURG " 12" NA 341457 NA NA NA NA
MITCHELL " 11" NA 1862 66 134 6868 NA
MONTGOMERY " 08" NA 4350 NA NA 8277 NA
MOORE " 08" NA 4880 NA NA 13555 NA
MOORE " 09" NA 14901 NA NA 23489 NA
NASH " 01" NA 25514 NA NA 26165 NA
"NEW HANOVER" " 07" NA 62316 NA NA 66435 303
NORTHAMPTON " 01" NA 6085 NA NA 3911 NA
ONSLOW " 03" NA 23121 NA NA 46579 NA
ORANGE " 04" NA 63681 NA NA 20270 NA
PAMLICO " 03" NA 2579 NA NA 4974 NA
PASQUOTANK " 03" NA 9644 NA NA 9805 NA
PENDER " 07" NA 11258 NA NA 22210 32
PERQUIMANS " 03" NA 2428 NA NA 4969 NA
PERSON " 13" NA 8297 NA NA 12651 NA
PITT " 01" NA 33664 NA NA 24126 NA
PITT " 03" NA 12107 NA NA 16505 NA
POLK " 11" NA 4368 115 169 7514 NA
RANDOLPH " 13" NA 15069 NA NA 55308 NA
RICHMOND " 09" NA 8974 NA NA 11387 NA
ROBESON " 09" NA 19116 NA NA 26655 NA
ROCKINGHAM " 10" NA 16104 NA NA 30559 NA
ROWAN " 13" NA 22973 NA NA 49153 NA
RUTHERFORD " 05" 391 5199 NA NA 14858 NA
RUTHERFORD " 11" NA 3758 145 214 9155 NA
SAMPSON " 07" NA 10691 NA NA 17424 25
SCOTLAND " 09" NA 7135 NA NA 7268 NA
STANLY " 08" NA 8236 NA NA 25169 NA
STOKES " 10" NA 5549 NA NA 19623 NA
SURRY " 10" NA 9003 NA NA 26891 NA
SWAIN " 11" NA 2717 90 182 3946 NA
TRANSYLVANIA " 11" NA 8248 211 390 11321 NA
TYRRELL " 03" NA 728 NA NA 1012 NA
UNION " 09" NA 46752 NA NA 82136 NA
VANCE " 01" NA 12144 NA NA 7950 NA
VANCE " 04" NA 262 NA NA 358 NA
WAKE " 02" NA 311887 NA 10914 172544 NA
WAKE " 04" NA 69438 NA NA 55732 NA
WARREN " 01" NA 6506 NA NA 3765 NA
WASHINGTON " 01" NA 3382 NA NA 2738 NA
WATAUGA " 05" 591 16378 NA NA 14693 NA
WAYNE " 01" NA 23800 NA NA 30849 NA
WILKES " 05" 847 7235 NA NA 27045 NA
WILSON " 01" NA 20905 NA NA 19515 NA
YADKIN " 10" NA 3871 NA NA 15669 NA
YANCEY " 11" NA 3797 89 166 7216 NA
