COUNTY DEM OTH REP
COUNTY Biden OTH Trump
"TOM GREEN" 12239 658 32313
TRAVIS 435860 11378 161337
TRINITY 1323 36 5579
TYLER 1403 63 8194
UPSHUR 2877 206 15809
UPTON 170 20 1178
UVALDE 4073 97 6174
"VAL VERDE" 6771 225 8284
"VAN ZANDT" 3516 243 22270
VICTORIA 10380 450 23358
WALKER 7884 353 15375
WALLER 8191 283 14260
WARD 764 55 3241
WASHINGTON 4261 207 12959
WEBB 41820 679 25898
WHARTON 4694 141 11926
WHEELER 168 10 2159
WICHITA 13161 810 32069
WILBARGER 956 44 3524
WILLACY 3108 0 2441
WILLIAMSON 143795 6031 139729
WILSON 6350 200 18463
WINKLER 358 15 1753
WISE 4973 360 27032
WOOD 3509 221 19049
YOAKUM 420 37 2174
YOUNG 1034 95 7110
ZAPATA 1826 15 2033
ZAVALA 2864 25 1490
