COUNTY REP DEM LIB GRN W-I1 W-I2 W-I3 W-I4 W-I5 W-I6 W-I7 W-I8 W-I9 W-I10 W-I11 W-I12 W-I13
COUNTY Trump Clinton Johnson Stein Valdivia Soltysik Kotlikoff Lee Maturen Moorehead Cubbler McMullin Steffes Fox Castle Hoefling Morrow
FALLS 3441 1684 90 23 0 0 0 0 1 0 0 9 0 0 0 0 0
FANNIN 9548 2132 269 46 0 0 0 0 1 0 0 31 0 0 17 0 0
FAYETTE 8743 2144 209 45 1 0 1 0 0 0 0 24 0 0 7 0 0
FISHER 1265 403 44 10 0 0 0 0 0 0 0 5 0 0 2 0 0
FLOYD 1474 435 47 3 0 0 0 0 0 0 0 0 0 0 0 0 0
FOARD 383 113 14 1 0 0 0 0 2 0 0 0 0 0 0 0 0
"FORT BEND" 117291 134686 6907 1783 2 0 22 0 37 3 0 1206 2 0 111 16 0
FRANKLIN 3585 665 96 12 0 0 2 0 1 0 0 11 0 0 8 0 0
FREESTONE 6026 1471 139 13 10 5 1 1 5 1 1 4 2 1 2 1 1
FRIO 1856 2444 76 24 0 0 0 0 0 0 0 0 0 0 0 0 0
GAINES 3907 597 85 20 0 0 0 0 1 0 0 9 0 0 1 0 0
GALVESTON 73757 43658 4045 889 1 0 10 1 15 6 10 426 0 0 69 13 3
GARZA 1225 230 21 7 0 0 0 0 0 0 0 1 0 0 0 0 0
GILLESPIE 10446 2288 333 61 1 0 3 0 0 0 0 64 0 0 3 4 11
GLASSCOCK 553 34 13 2 0 0 0 0 0 0 0 0 0 0 2 0 0
GOLIAD 2620 973 101 10 0 0 0 0 0 0 0 3 0 0 1 0 0
GONZALES 4587 1571 129 28 3 3 1 1 2 1 1 1 1 1 1 1 2
GRAY 6500 701 144 22 0 0 0 0 0 0 0 32 0 0 4 1 1
GRAYSON 35325 10301 1258 264 1 0 7 0 7 0 1 213 0 1 32 4 2
GREGG 28764 11677 903 150 0 0 7 0 8 1 2 204 0 0 27 6 0
GRIMES 7065 2194 219 50 0 0 0 0 0 0 0 0 0 0 5 0 0
GUADALUPE 36632 18391 2022 412 1 0 5 0 9 0 3 296 0 0 46 5 0
HALE 6366 2101 324 43 1 0 0 0 1 0 1 19 0 0 2 0 0
HALL 893 164 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAMILTON 3060 479 64 10 0 0 0 0 0 0 0 3 0 0 4 0 0
HANSFORD 1730 171 37 9 0 0 0 0 0 0 0 0 0 0 0 0 0
HARDEMAN 1207 249 48 7 0 0 0 0 0 0 0 2 0 0 0 0 0
HARDIN 19606 2780 353 41 0 0 0 0 0 0 0 0 0 0 0 0 0
HARRIS 545955 707914 39781 11784 8 6 168 2 208 21 68 5647 9 1 471 62 7
HARRISON 18749 7151 449 76 0 1 2 0 0 0 1 96 1 1 15 5 1
HARTLEY 1730 173 43 3 0 0 0 0 0 0 0 3 0 0 0 0 0
HASKELL 1403 314 42 6 0 0 0 0 0 0 0 5 0 0 0 0 0
HAYS 33826 33224 3630 1061 1 1 34 0 0 0 5 349 1 0 24 5 3
HEMPHILL 1462 181 44 2 0 0 0 0 0 0 0 3 1 0 2 0 0
HENDERSON 23650 5669 535 102 0 0 2 0 2 0 2 69 0 0 9 3 2
HIDALGO 48642 118809 3788 1856 8 0 5 0 16 11 5 252 1 2 34 7 1
HILL 10108 2547 256 40 0 0 0 0 0 0 0 16 0 0 3 0 0
HOCKLEY 5809 1260 199 33 1 0 0 0 0 0 0 6 1 0 0 2 0
HOOD 21382 4008 641 113 0 0 0 2 3 0 0 92 1 0 18 2 0
HOPKINS 10707 2510 220 44 0 0 1 0 0 0 1 42 0 0 13 0 0
HOUSTON 6205 1978 90 29 51 0 0 0 0 0 0 0 0 0 0 0 0
