"COUNTY" "DISTRICT" "DEM" "Green" "No Party Preference" "REP"
COUNTY DISTRICT Democratic Green "No Party Preference" Republican
"State Totals" 53 185667 NA NA 83127
"State Totals" 6 201939 NA NA NA
"State Totals" 7 155016 NA NA 126601
"State Totals" 8 NA NA NA 170785
"State Totals" 9 113414 NA NA 87349
Sutter 3 13572 NA NA 16108
Tehama 1 7021 NA NA 13885
Trinity 2 2604 NA NA 2647
Tulare 21 1771 NA NA 1976
Tulare 22 35396 NA NA 41096
Tulare 23 7718 NA NA 11534
Tuolumne 4 10596 NA NA 13221
Ventura 24 2570 NA NA 1376
Ventura 25 24854 NA NA 25251
Ventura 26 155762 NA NA 95295
Ventura 30 567 NA NA 429
Yolo 3 41836 NA NA 15479
Yolo 6 14103 NA NA NA
Yuba 3 8044 NA NA 10946
