COUNTY DEM REP
COUNTY Kelly McSally
Apache 24050 11052
Cochise 24843 35214
Coconino 45561 27255
Gila 9648 17889
Graham 4506 10303
Greenlee 1403 2225
"La Paz" 2492 4835
Maricopa 1064396 984203
Mohave 27414 75359
Navajo 24396 26952
Pima 309142 207317
Pinal 79114 104048
"Santa Cruz" 13689 5685
Yavapai 51852 90180
Yuma 33961 35144
