"PARTY"  "REP"   "DEM"   "LIB"       "IND1" "IND2"   "WI1"     "WI2"     "WI3"     "WI4"     "WI5"       "WI6"      "WI7"    "WI8"    "WI9"   "WI10"    "WI11"
"COUNTY" "TRUMP" "BIDEN" "JORGENSEN" "WEST" "PIERCE" "HAWKINS" "CARROLL" "LA_RIVA" "CHARLES" "J_SIMMONS" "HOEFLING" "HOWARD" "BODDIE" "WELLS" "STEVENS" "M_SIMMONS"
"Magoffin" 4174 1214 40 10 9 0 0 0 0 0 0 0 0 0 0 0
"Marion" 6113 2722 55 24 14 0 0 0 0 0 0 0 0 0 0 0
"Marshall" 13297 4071 165 44 24 1 1 0 0 0 0 0 0 0 0 0
"Martin" 3496 403 17 8 6 0 0 0 0 0 0 0 6 0 0 0
"Mason" 5477 2362 85 19 15 0 0 0 0 0 0 0 0 0 0 0
"McCracken" 21820 11195 376 92 43 17 5 0 1 0 0 0 0 0 0 0
"McCreary" 5664 725 34 8 4 0 1 0 0 0 2 0 0 0 0 0
"McLean" 3633 1074 56 11 8 0 0 0 0 0 0 0 0 0 0 0
"Meade" 10185 3632 235 33 26 2 0 0 0 0 0 0 0 0 0 0
"Menifee" 2311 750 24 12 5 0 0 0 0 0 0 0 0 0 0 0
"Mercer" 8506 3033 140 40 16 0 0 0 0 0 0 0 0 0 0 0
"Metcalfe" 3959 975 56 12 10 0 0 0 0 0 0 0 0 0 0 0
"Monroe" 4628 657 30 10 5 0 0 0 0 0 0 0 0 0 0 0
"Montgomery" 8993 3630 154 41 19 4 0 0 0 0 0 0 0 0 1 0
"Morgan" 4301 1175 27 21 18 1 1 0 0 0 0 0 0 0 0 0
"Muhlenberg" 10497 3545 138 34 17 2 2 0 0 0 0 0 0 0 0 0
"Nelson" 15703 7188 268 45 41 5 4 2 0 0 0 0 0 0 0 0
"Nicholas" 2408 955 27 3 3 0 0 0 0 0 0 0 0 0 0 0
"Ohio" 8582 2404 99 29 13 1 0 0 0 1 0 0 0 0 0 0
"Oldham" 22654 14505 601 113 67 20 14 0 1 0 0 1 0 0 0 0
"Owen" 4292 1098 46 10 10 0 1 1 0 0 0 0 0 0 0 0
"Owsley" 1671 216 6 3 0 0 0 0 0 0 0 0 0 0 0 0
"Pendleton" 5515 1322 56 18 14 0 0 0 0 0 0 0 0 0 0 0
"Perry" 8129 2356 100 29 12 0 0 0 0 0 0 0 0 0 0 0
"Pike" 20284 4866 154 47 26 16 2 0 0 0 0 0 0 0 0 0
"Powell" 4041 1367 67 16 14 0 0 0 0 0 0 0 0 0 0 0
"Pulaski" 25442 5666 323 78 31 8 5 0 3 0 1 0 0 0 0 0
"Robertson" 884 253 6 2 1 0 0 0 0 0 0 0 0 0 0 0
"Rockcastle" 6577 1134 56 13 3 1 0 0 0 0 0 0 0 0 0 0
"Rowan" 5994 3880 137 31 16 4 2 1 0 0 0 0 0 0 0 0
"Russell" 7519 1331 84 11 9 0 0 0 0 0 1 0 0 0 0 0
"Scott" 17767 10567 480 90 52 4 7 1 0 1 0 0 0 0 0 0
"Shelby" 15055 8077 302 73 38 3 0 1 0 0 0 1 0 0 0 0
"Simpson" 5888 2681 128 17 18 0 0 0 0 0 0 0 0 0 0 0
"Spencer" 8737 2530 124 21 17 3 1 0 0 0 0 0 0 0 0 0
"Taylor" 9376 2963 119 35 19 1 2 1 0 0 1 0 0 0 0 0
"Todd" 4062 1205 60 19 12 1 2 0 0 0 2 0 0 0 0 0
"Trigg" 5487 1791 75 8 14 1 0 0 0 0 0 0 0 0 0 0
"Trimble" 3227 1012 60 10 10 1 0 0 0 0 0 0 0 0 0 0
"Union" 4965 1529 67 9 6 0 1 0 0 0 0 0 0 0 0 0
"Warren" 31791 22479 823 184 77 25 9 6 4 0 3 0 0 0 0 0
"Washington" 4482 1644 72 11 14 2 0 0 0 0 0 0 0 0 0 0
"Wayne" 7430 1700 69 29 12 0 0 0 0 0 0 0 0 0 0 0
"Webster" 4506 1412 54 16 3 2 0 0 0 0 0 0 0 0 0 0
"Whitley" 12567 2552 177 34 17 5 3 0 1 0 0 0 0 0 0 0
"Wolfe" 2097 839 21 9 13 0 0 0 0 0 0 0 0 0 0 0
"Woodford" 8362 6530 237 50 32 0 0 0 0 0 0 0 0 0 0 0
