X_1 PARTY X_2 DEM REP OTH IND LIB GRN CON REF SOC X_3 X_4 X_5
Cno COUNTY Precincts DEM_REG REP_REG Other Ind Libert Green Const Reform SocWk Male Female Registered
078 MARION 17 9274 3894 415 253 34 0 0 0 1 6578 7284 13871
079 MARSHALL 25 14094 10683 901 769 95 3 5 2 1 12789 13762 26553
080 MARTIN 14 1843 6200 124 109 8 2 1 0 0 4001 4249 8287
081 MASON 13 7250 5288 754 423 50 3 1 0 1 6417 7352 13770
082 MEADE 19 10326 11124 1316 840 109 11 15 3 4 11433 12309 23748
083 MENIFEE 6 3633 1719 246 145 13 4 1 0 0 2870 2861 5761
084 MERCER 17 8729 8641 476 847 75 13 2 0 3 9034 9748 18786
085 METCALFE 12 3344 4173 263 251 19 6 5 1 0 3922 4139 8062
086 MONROE 12 1047 7346 206 114 15 3 0 0 1 4183 4548 8732
087 MONTGOMERY 18 11708 8093 721 610 77 14 6 0 2 10043 11177 21231
088 MORGAN 12 6807 2171 188 135 13 0 3 1 0 4582 4731 9318
089 MUHLENBERG 25 14147 7807 940 457 50 8 2 0 1 11202 12203 23412
090 NELSON 24 17800 14478 2103 1049 105 20 5 0 4 17025 18538 35564
091 NICHOLAS 5 3796 1495 226 99 8 1 0 0 0 2706 2915 5625
092 OHIO 19 6887 10183 870 393 46 3 8 1 2 8889 9491 18393
093 OLDHAM 38 18919 31174 3498 2564 283 23 8 1 2 27263 29133 56472
094 OWEN 12 4402 3548 275 249 15 2 1 0 0 4185 4293 8492
095 OWSLEY 8 931 2492 65 36 7 0 0 0 1 1703 1829 3532
096 PENDLETON 12 4675 5196 576 336 45 2 6 0 1 5304 5521 10837
097 PERRY 37 13163 6561 391 412 37 8 2 1 1 9880 10692 20576
098 PIKE 57 28855 17471 1967 1116 84 12 6 0 2 24002 25503 49513
099 POWELL 11 5982 3615 340 231 22 5 0 0 1 4907 5289 10196
100 PULASKI 56 10761 35533 2331 1403 169 17 14 1 3 23618 26561 50232
